oblast,city,center,link
Київська область,м. Київ,МЦГО Молодіжний центр громадянської освіти,https://youthcenters.net.ua/mtsgo-molodigniy-tsentr-gromadyanskoi-osviti/
Київська область,м. Київ,Київський молодіжний центр,https://youthcenters.net.ua/kiivskiy-molodigniy-tsentr/
Київська область,м. Київ,Всеукраїнський молодіжний центр,https://youthcenters.net.ua/vseukrainskiy-molodigniy-tsentr/
Київська область,м. Київ,Молодіжний центр СОС Дитячі Містечка Україна,https://youthcenters.net.ua/molodigniy-tsentr-sos-dityachi-mistechka-ukraina/
Київська область,м. Київ,Київський обласний молодіжний центр,https://youthcenters.net.ua/kiivskiy-oblasniy-molodigniy-tsentr/
Київська область,м. Київ,Студентський простір “Крила”,https://youthcenters.net.ua/studentskiy-prostir-krila/
Київська область,Біла Церква,Молодіжний центр міста Біла Церква,https://youthcenters.net.ua/molodigniy-tsentr-mista-bila-tserkva/
Київська область,м. Фастів,Фастівський міський молодіжний центр,https://youthcenters.net.ua/fastivskiy-miskiy-molodignyi-tsentr/
Київська область,м. Буча,Пластовий Вишкільний Центр,https://youthcenters.net.ua/natsionalniy-plastoviy-vishkilniy-tsentr/
Київська область,м. Переяслав,Толока-хаб,https://youthcenters.net.ua/toloka-hab/
Київська область,м. Переяслав,Молодіжний простір «Зустріч»,https://youthcenters.net.ua/molodigniy-prostir-zustrich/
Київська область,м. Славутич,Молодіжний простір м. Славутич,https://youthcenters.net.ua/slavutitskiy-molodigniy-prostir/
Київська область,с. Медвин,Молодіжний центр Медвинської ОТГ,https://youthcenters.net.ua/molodigniy-tsentr-medvinskoi-otg/
Київська область,м. Вишгород,"Клуб професій ""Генерація UA""",https://youthcenters.net.ua/klub-profesiy-generatsiya-ua/
Київська область,м. Боярка,Молодіжний Центр міста Боярка,https://youthcenters.net.ua/molodigniy-tsentr-mista-boyarka/
Вінницька область,м. Вінниця,Квадрат,https://youthcenters.net.ua/kvadrat/
Вінницька область,м. Вінниця,Центр підліткових клубів за місцем проживання “УНІВЕР”,https://youthcenters.net.ua/tsentr-pidlitkovih-klubiv-za-mistsem-progivannya-univer/
Вінницька область,м. Вінниця,"Креативний простір ""Level-80""",https://youthcenters.net.ua/kreativniy-prostir-level-80/
Вінницька область,м. Вінниця,"HUB ""Місто змістів""",https://youthcenters.net.ua/hub-misto-zmistiv/
Вінницька область,м. Жмеринка,Учнівський хаб #Квартіра,https://youthcenters.net.ua/uchnivskiy-hab-kvartira/
Вінницька область,с. Війтівці,ZHDANSPACE,https://youthcenters.net.ua/zhdanspace/
Волинська область,м. Луцьк,Молодіжний центр YouthСфера,https://youthcenters.net.ua/youthsfera/
Волинська область,м. Луцьк,Молодіжний центр Волині,https://youthcenters.net.ua/molodigniy-tsentr-volini/
Волинська область,м. Луцьк,Луцький міський молодіжний центр,https://youthcenters.net.ua/lutskiy-miskiy-molodigniy-tsentr/
Волинська область,м. Луцьк,"Простір для молоді ""Place for teens""",https://youthcenters.net.ua/place-for-teens/
Волинська область,м. Ковель,"Ковельський молодіжний центр ""Місто ідей""",https://youthcenters.net.ua/kovelskiy-molodigniy-tsentr-misto-idey/
Волинська область,м. Ковель,ВАТРА-правильний простір,https://youthcenters.net.ua/vatra-pravilniy-prostir/
Волинська область,м. Нововолинськ,"Молодіжний центр ""Нові крила""",https://youthcenters.net.ua/novi-kryla/
Волинська область,м. Володимир-Волинський,"Хаб ""Creative Studio""",https://youthcenters.net.ua/hab-creative-studio/
Волинська область,м. Ківерці,"Молодіжно-рятувальний центр ""Тивер""",https://youthcenters.net.ua/molodigno-ryatuvalniy-tsent-tiver/
Волинська область,м. Рожище,Відкритий простір для молоді “Цитрус”,https://youthcenters.net.ua/vidkritiy-prostir-dlya-molodi-tsitrus/
Волинська область,м. Рожище,Молодіжний простір «City life»,https://youthcenters.net.ua/molodigniy-prostir-city-life/
Волинська область,с. Копачівка,МЦ DidUhim,https://youthcenters.net.ua/mts-diduhim/
Волинська область,c. Будятичі,Молодіжний простір «ПораДій»,https://youthcenters.net.ua/molodigniy-prostir-poradiy/
Волинська область,c. Зимне,Молодіжний центр Зимнівської ОТГ,https://youthcenters.net.ua/molodigniy-tsentr-zimnivskoi-otg/
Волинська область,с. Смідин,Smidyn Hub,https://youthcenters.net.ua/smidyn-hub/
Дніпропетровська область,м. Дніпро,МЦ Освіторіум,https://youthcenters.net.ua/osvitorium/
Дніпропетровська область,м. Дніпро,"КП ""Молодіжний центр Дніпропетровщини"" Дніпропетровської облради",https://youthcenters.net.ua/kp-molodigniy-tsentr-dnipropetrovshchini-dnipropetrovskoi-oblradi/
Дніпропетровська область,м. Дніпро,Молодіжний центр Дніпра,https://youthcenters.net.ua/molodigniy-tsentr-dnipra/
Дніпропетровська область,м. Дніпро,"КЗ ""Міський дитячо-молодіжний центр"" Дніпровської міської ради",https://youthcenters.net.ua/kz-miskiy-dityacho-molodigniy-tsentr-dniprovskoi-miskoi-radi/
Дніпропетровська область,м. Дніпро,Молодіжний медіацентр Дніпра,https://youthcenters.net.ua/molodigniy-mediatsentr-dnipra/
Дніпропетровська область,м. Дніпро,"Молодіжний центр ""Кузня української інтелігенції""",https://youthcenters.net.ua/kuznya-ukrainskoi-inteligentsii/
Дніпропетровська область,м. Дніпро,"Молодіжний центр ""Strum""",https://youthcenters.net.ua/molodigniy-tsentr-strum/
Дніпропетровська область,м. Дніпро,"Інклюзивний молодіжний центр ""Даруємо радість"" на базі Благодійної організації ""Благодійний фонд ""Даруємо радість""",https://youthcenters.net.ua/inklyuzivniy-molodigniy-tsentr-daruemo-radist-na-bazi-blagodiynoi-organizatsii-blagodiyniy-fond-daruemo-radist/
Дніпропетровська область,м. Дніпро,"Молдіжний центр ""Advanced worker""",https://youthcenters.net.ua/moldigniy-tsentr-advanced-worker/
Дніпропетровська область,м. Дніпро,Простір CoLibry,https://youthcenters.net.ua/prostir-colibry/
Дніпропетровська область,м. Кривий Ріг,Молодіжний центр #StudHub,https://youthcenters.net.ua/molodigniy-tsentr-studhub/
Дніпропетровська область,м. Кривий Ріг,Культурно-громадський центр ШELTER+,https://youthcenters.net.ua/kulturno-gromadskiy-tsentr-shelter/
Дніпропетровська область,м. Кривий Ріг,ВАТРА. Простір щирого спілкування,https://youthcenters.net.ua/vatra-prostir-shchirogo-spilkuvannya/
Дніпропетровська область,м. Кривий Ріг,BiblioHab,https://youthcenters.net.ua/bibliohab/
Дніпропетровська область,м. Кам'янське,"Комунальна установа ""Центр молодіжних ініціатив"" Кам'янської міської ради",https://youthcenters.net.ua/komunalna-ustanova-tsentr-molodignih-initsiativ-kam-yanskoi-miskoi-radi/
Дніпропетровська область,м. Кам'янське,"Культурно-молодіжний центр ""М.И.Р.HUB""",https://youthcenters.net.ua/kulturno-molodigniy-tsentr-m-i-r-hub/
Дніпропетровська область,м. Павлоград,«Молодіжний центр спілкування «Позитивний Павлоград»,https://youthcenters.net.ua/molodigniy-tsentr-spilkuvannya-pozitivniy-pavlograd/
Дніпропетровська область,м. Новомосковськ,Новомосковський молодіжний центр,https://youthcenters.net.ua/novomoskovskiy-molodigniy-tsentr/
Дніпропетровська область,м. Тернівка,"Тернівський міський молодіжний центр ""InTern""",https://youthcenters.net.ua/komunalniy-zaklad-ternivskiy-miskiy-molodigniy-tsentr/
Дніпропетровська область,смт. Слобожанське,"Комунальний заклад ""Молодіжний центр""Смарт"" Слобожанської селищної ради",https://youthcenters.net.ua/komunalniy-zaklad-molodigniy-tsentr-smart-sloboganskoi-selishchnoi-radi/
Дніпропетровська область,смт. Покровське,"Молодіжний простір ""Pokrovske""",https://youthcenters.net.ua/molodigniy-prostir-pokrovske/
Дніпропетровська область,смт. Обухівка,Молодіжний центр А.Т.О.М.,https://youthcenters.net.ua/molodigniy-tsentr-a-t-o-m/
Дніпропетровська область,смт. Софіївка,"Молодіжний центр ""UNREAL""",https://youthcenters.net.ua/molodigniy-tsentr-unreal/
Дніпропетровська область,с. Спаське,Центр розвитку громади (на базі будинку культури),https://youthcenters.net.ua/tsentr-rozvitku-gromadi-na-bazi-budinku-kulturi/
Дніпропетровська область,с. Олександрівка,"Молодіжний центр ""Friends""",https://youthcenters.net.ua/molodigniy-tsentr-friends/
Дніпропетровська область,с. Миколаївка,"Молодіжний медіа-центр ""Резиденція молоді""",https://youthcenters.net.ua/molodigniy-media-tsentr-rezidentsiya-molodi/
Дніпропетровська область,смт. Петропавлівка,Focus Hub,https://youthcenters.net.ua/focus-hub/
Дніпропетровська область,с. Прядівка,"Молодіжний центр ""Чіл@ут place""",https://youthcenters.net.ua/molodigniy-tsentr-chil-ut-place/
Дніпропетровська область,с. Новомиколаївка,"Вільний простір ""Flash Без Меж""",https://youthcenters.net.ua/vilniy-prostir-flashbez-meg/
Донецька область,Маріуполь,Арт-пазл,https://youthcenters.net.ua/art-pazl/
Донецька область,Маріуполь,"Центр розвитку дітей, молоді та вчителів ""ГЕНЕРАЦІЯ UA МАРІУПОЛЬ""",https://youthcenters.net.ua/tsentr-rozvitku-ditey-molodi-ta-vchiteliv-generatsiya-ua-mariupol/
Донецька область,Маріуполь,Вільний простір «Вежа»,https://youthcenters.net.ua/vilniy-prostir-vega/
Донецька область,Маріуполь,освітній хаб Халабуда,https://youthcenters.net.ua/osvitniy-hab-halabuda/
Донецька область,Краматорськ,"Молодіжна платформа ""Вільна Хата""",https://youthcenters.net.ua/molodigna-platforma-vilna-hata/
Донецька область,Краматорськ,Донецький обласний дитячо-молодіжний центр,https://youthcenters.net.ua/donetskiy-oblasniy-dityacho-molodigniy-tsentr/
Донецька область,Краматорськ,Факел,https://youthcenters.net.ua/fakel/
Донецька область,Краматорськ,"молодіжний центр ""Молодість""",https://youthcenters.net.ua/molodigniy-tsentr-molodist/
Донецька область,Краматорськ,Молодіжний пластовий центр,https://youthcenters.net.ua/molodigniy-plastoviy-tsentr-kramatorsk/
Донецька область,Краматорськ,OASIS молодіжно-сімейний центр,https://youthcenters.net.ua/oasis-molodigno-simeyniy-tsentr/
Донецька область,Бахмут,Перспектива,https://youthcenters.net.ua/perspektiva/
Донецька область,Добропілля,Dobro Lab,https://youthcenters.net.ua/dobro-lab/
Донецька область,Святогірськ,"Молодіжний клуб ""Слов'янське серце""",https://youthcenters.net.ua/molodigniy-klub-slov-yanske-sertse/
Донецька область,Костянтинівка,Молодіжна платформа вільний простір «D•R•U•Z•I»,https://youthcenters.net.ua/molodigna-platforma-vilniy-prostir-d-r-u-z-i/
Донецька область,Костянтинівка,Центр для молоді та дітей «ТАЛАНТАУН»,https://youthcenters.net.ua/tsentr-dlya-molodi-ta-ditey-talantaun/
Донецька область,Костянтинівка,«ХВИЛЯ» Інноваційний центр розвитку для молоді та дітей,https://youthcenters.net.ua/hvilya-innovatsiyniy-tsentr-rozvitku-dlya-molodi-ta-ditey/
Донецька область,Покровськ,Junior Trackers,https://youthcenters.net.ua/junior-trackers/
Донецька область,Покровськ,Молодіжний центр «Молодіжний центр Покровська»,https://youthcenters.net.ua/molodigniy-tsentr-molodigniy-tsentr-pokrovska/
Донецька область,Слов’янськ,Молодіжний центр «Теплиця»,https://youthcenters.net.ua/molodigniy-tsentr-teplitsya/
Донецька область,Слов’янськ,"Молодіжний Центр ""АртПростір ""Happy Hub"" при КЗ ""Центр культури і довкілля""",https://youthcenters.net.ua/molodigniy-tsentr-tvorchoi-aktivnosti-artprostir-happy-hub/
Донецька область,Авдіївка,"Центр інноваційного розвитку дітей та молоді ""Вулик""",https://youthcenters.net.ua/tsentr-innovatsiynogo-rozvitku-ditey-ta-molodi-vulik/
Донецька область,смт. Олександрівка,М-АК,https://youthcenters.net.ua/m-ak/
Донецька область,смт. Олександрівка,Очерет,https://youthcenters.net.ua/ocheret/
Донецька область,с.Роздольне,Нові горизонти,https://youthcenters.net.ua/novi-gorizonti/
Донецька область,с. Комар,Перлина майбутнього,https://youthcenters.net.ua/perlina-maybutnogo/
Донецька область,с. Сонячне,Інноваційний центр розвитку для молоді та дітей «Оріана»,https://youthcenters.net.ua/innovatsiyniy-tsentr-rozvitku-dlya-molodi-ta-ditey-oriana/
Донецька область,Вугледар,"Молодіжний центр ""МІКС""",https://youthcenters.net.ua/miks/
Донецька область,смт. Святогорівка,Територія дозвілля,https://youthcenters.net.ua/teritoriya-dozvillya/
Донецька область,смт. Святогорівка,"""Святогорівка-Арт""",https://youthcenters.net.ua/svyatogorivka-art/
Донецька область,с. Ганнівка,Молодіжна альтернатива,https://youthcenters.net.ua/molodigna-alternativa/
Донецька область,с. Ганнівка,«СOOL DRIVE»,https://youthcenters.net.ua/sool-drive/
Донецька область,с. Криворіжжя,Нове покоління,https://youthcenters.net.ua/nove-pokolinnya-1/
Донецька область,Дружківка,Інноваційний центр розвитку молоді та дітей  «ART HUB – Калейдоскоп»,https://youthcenters.net.ua/innovatsiyniy-tsentr-rozvitku-molodi-ta-ditey-art-hub-kaleydoskop/
Донецька область,Дружківка,Надсучасний мультимедійний центр для молодих людей з інвалідністю «Modern media»,https://youthcenters.net.ua/nadsuchasniy-multimediyniy-tsentr-dlya-molodih-lyudey-z-invalidnistyu-modern-media/
Донецька область,Дружківка,"молодіжний центр ""Modern media""",https://youthcenters.net.ua/molodigniy-tsentr-modern-media/
Донецька область,Дружківка,Молодіжний центр «Lesya Hub»,https://youthcenters.net.ua/molodigniy-tsentr-lesya-hub/
Донецька область,Марьїнка,Молодіжний центр «Вікторія»,https://youthcenters.net.ua/molodigniy-tsentr-viktoriya/
Донецька область,Лиман,Альтанка,https://youthcenters.net.ua/altanka/
Донецька область,смт. Мангуш,Молодіжний центр «Мангуш»,https://youthcenters.net.ua/molodigniy-tsentr-mangush/
Донецька область,с.Урзуф,Молодіжний центр «Молодіжне сузір’я»,https://youthcenters.net.ua/molodigniy-tsentr-molodigne-suzir-ya/
Донецька область,с.Сартана,"""CHERDAK""",https://youthcenters.net.ua/cherdak/
Донецька область,Мирноград,Молодіжний центр «Рух»,https://youthcenters.net.ua/molodigniy-tsentr-ruh/
Донецька область,смт. Нікольське,Сузір’я,https://youthcenters.net.ua/suzir-ya/
Донецька область,Новогродівка,Молодіжна платформа ініціатив «NovoСхід»,https://youthcenters.net.ua/molodigna-platforma-initsiativ-novoshid/
Донецька область,Новогродівка,платформа ініциатив «Move»,https://youthcenters.net.ua/platforma-initsiativ-move/
Донецька область,Селидове,Платформа молодіжних та дитячих ініціатив«START UP»,https://youthcenters.net.ua/platforma-molodignih-ta-dityachih-initsiativ-start-up/
Донецька область,Селидове,Молодіжний центр з робочою назвою «Сучасник»,https://youthcenters.net.ua/molodigniy-tsentr-z-robochoyu-nazvoyu-suchasnik/
Донецька область,Селидове,молодіжний центр «Молодь +»,https://youthcenters.net.ua/molodigniy-tsentr-molod/
Донецька область,смт. Райгородок,Вільний простір «Молода хвиля»,https://youthcenters.net.ua/vilniy-prostir-moloda-hvilya/
Донецька область,смт. Очеретяне,"Молодіжний центр ""Смайлик""",https://youthcenters.net.ua/molodigniy-tsentr-smaylik/
Донецька область,Черкаська ОТГ  с.Олександрівка,Спектр,https://youthcenters.net.ua/spektr/
Донецька область,Білозерське,"Молодіжний центр ""Iнтрига""",https://youthcenters.net.ua/intriga/
Донецька область,Білицьке,"Молодіжний центр ""Громада без обмежень""",https://youthcenters.net.ua/shche-ne-vidkritiy/
Донецька область,смт. Гродівка,"Інноваційний центр розвитку молоді та дітей ""Гродівський гурт""",https://youthcenters.net.ua/innovatsiyniy-tsentr-rozvitku-molodi-ta-ditey-grodivskiy-gurt/
Донецька область,Шахівська ОТГ,Енерджайзер,https://youthcenters.net.ua/enerdgayzer/
Донецька область,Шахівська ОТГ,Фреш,https://youthcenters.net.ua/fresh/
Донецька область,Торецьк,"""TeenДім""",https://youthcenters.net.ua/teendim/
Донецька область,Олексіїво-Дружківка,"Молодіжний центр «Greenwich»,",https://youthcenters.net.ua/molodigniy-tsentr-greenwich/
Донецька область,Світлодарськ,"Інноваційний центр розвитку молоді ""Імпульс""",https://youthcenters.net.ua/innovatsiyniy-tsentr-rozvitku-molodi-impuls/
Донецька область,смт. Миронівський,молодіжний центр «Вітер змін»,https://youthcenters.net.ua/molodigniy-tsentr-viter-zmin/
Донецька область,с. Шевченко,Молодіжний центр «Оріон»,https://youthcenters.net.ua/molodigniy-tsentr-orion/
Донецька область,с. Старомлинівка,Молодіжний центр «SENS»,https://youthcenters.net.ua/molodigniy-tsentr-sens/
Донецька область,смт. Новодонецьке,молодіжний центр «Альтаір»,https://youthcenters.net.ua/molodigniy-tsentr-altair/
Донецька область,с. Торецьке,молодіжний центр «Фреш»,https://youthcenters.net.ua/molodigniy-tsentr-fresh/
Донецька область,с. Званівка,Молодіжний центр «Freedom»,https://youthcenters.net.ua/molodigniy-tsentr-freedom/
Донецька область,с. Званівка,ЛЕМКО (Лемківський Екологічний Молодіжний Культурно-Освітній) - центр,https://youthcenters.net.ua/lemko-lemkivskiy-ekologichniy-molodigniy-kulturno-osvitniy-tsentr/
Донецька область,с. Іллінівка,"Молодіжний центр ""Простір без обмежень""",https://youthcenters.net.ua/molodigniy-tsentr-prostir-bez-obmegen/
Донецька область,с. Іванопілля,«Lider-land»,https://youthcenters.net.ua/lider-land/
Донецька область,с.Торське,молодіжний центр «Галактика»,https://youthcenters.net.ua/molodigniy-tsentr-galaktika/
Донецька область,Красногорівка,"Молодіжний центр ""Надія""",https://youthcenters.net.ua/molodigniy-tsentr-nadiya/
Донецька область,с. Новомихайлівка,молодіжний центр «Крок до мрії»,https://youthcenters.net.ua/molodigniy-tsentr-krok-do-mrii/
Донецька область,с. Максимільянівка,молодіжний центр «Мексика»,https://youthcenters.net.ua/molodigniy-tsentr-meksika/
Донецька область,с. Зоря,"""Зоря""",https://youthcenters.net.ua/zorya/
Донецька область,с. Очеретине,Молодіжний іноваційний центр «Імпульс-О»,https://youthcenters.net.ua/molodigniy-inovatsiyniy-tsentr-impuls-o/
Донецька область,с. Родинське,Молодіжний центр «Родінський молодіжний центр»,https://youthcenters.net.ua/molodigniy-tsentr-rodinskiy-molodigniy-tsentr/
Донецька область,смт Вернхнєторецьке,молодіжний центр «Відродження»,https://youthcenters.net.ua/molodigniy-tsentr-vidrodgennya/
Донецька область,с. Єлизаветівка,YelizavetCity,https://youthcenters.net.ua/yelizavetcity/
Донецька область,Курахове,"""380 Volt""",https://youthcenters.net.ua/380-volt/
Донецька область,с. Вільне,Вільні,https://youthcenters.net.ua/vilni/
Донецька область,c. Катеринівка,"Молодіжний центр ""FOX""",https://youthcenters.net.ua/molodigniy-tsentr-fox/
Житомирська область,м. Житомир,Міський культурно-спортивний центр (21 клуб),https://youthcenters.net.ua/miskiy-kulturno-sportivniy-tsentr-21-klub/
Житомирська область,м. Бердичів,М-Формація,https://youthcenters.net.ua/m-formatsiya/
Житомирська область,м. Коростень,Кора Хаб,https://youthcenters.net.ua/kora-hab/
Житомирська область,м. Новоград-Волинський,міський Молодіжний центр,https://youthcenters.net.ua/miskiy-molodigniy-tsentr/
Житомирська область,м. Малин,Міжнародний культурний центр ПРОСТІР,https://youthcenters.net.ua/mignarodniy-kulturniy-tsentr-prostir/
Житомирська область,с. Іванківці,Арт-простір,https://youthcenters.net.ua/art-prostir/
Закарпатська область,м. Мукачеве,"Навчальний центр «Platform 9 3/4» та ГО ""Німецька молодь Закарпаття""",https://youthcenters.net.ua/navchalniy-tsentr-platform-9-3-4/
Закарпатська область,м. Виноградів,"Молодіжний хаб ""Майстерня ідей""",https://youthcenters.net.ua/molodigniy-hab-maysternya-idey/
Закарпатська область,м. Іршава,"Молодіжний хаб ""Пак Дись""",https://youthcenters.net.ua/molodigniy-hab-pak-dis/
Закарпатська область,м. Тячів,"Молодіжний хаб ""Bulb""",https://youthcenters.net.ua/molodigniy-hab-bulb/
Закарпатська область,смт. Ясіня,Креденц,https://youthcenters.net.ua/kredents/
Закарпатська область,м. Перечин,"Молодіжний хаб ""Хижа""",https://youthcenters.net.ua/molodigniy-hab-higa/
Закарпатська область,с. Довге,Довге Хаб,https://youthcenters.net.ua/dovge-hab/
Запорізька область,Запоріжжя,Запорізький обласний центр молоді,https://youthcenters.net.ua/zaporizkiy-oblasniy-tsentr-molodi/
Запорізька область,Запоріжжя,Спільно HUB,https://youthcenters.net.ua/spilno-hub/
Запорізька область,Запоріжжя,Hub UHO,https://youthcenters.net.ua/hub-uho/
Запорізька область,Енергодар,FreeDom,https://youthcenters.net.ua/freedom/
Запорізька область,с.Широке,Space,https://youthcenters.net.ua/space/
Запорізька область,Приморськ,"Молодіжний центр ""Портал""",https://youthcenters.net.ua/molodigniy-tsentr-portal/
