oblast,city,center,link
Запорізька область,Бердянськ,"Хаб ""Маяк""",https://youthcenters.net.ua/hab-mayak/
Запорізька область,смт. Комиш-Зоря,"Молодіжний хаб ""TalkHub""",https://youthcenters.net.ua/molodigniy-hab-talkhub/
Запорізька область,Мелітополь,"Простір для дітей, сім""ї та молоді",https://youthcenters.net.ua/prostir-dlya-ditey-sim-i-ta-molodi/
Запорізька область,Мелітополь,"Молодіжний центр ""People.ua""",https://youthcenters.net.ua/molodigniy-tsentr-people-ua/
Запорізька область,Остриківська ОТГ,Молодіжний хаб Остриківської ОТГ,https://youthcenters.net.ua/molodigniy-hab-ostrikivskoi-otg/
Запорізька область,смт. Якимівка,FreeDom Hub,https://youthcenters.net.ua/freedom-hub/
Запорізька область,смт. Чернігівка,"Бібліохаб ""ХАБ·Л""",https://youthcenters.net.ua/bibliohab-hab-l/
Івано-Франківська область,Івано-Франківськ,Молодіжний центр Paragraph,https://youthcenters.net.ua/paragraph/
Івано-Франківська область,Івано-Франківськ,Івано-Франківський обласний пластовий центр,https://youthcenters.net.ua/ivano-frankivskiy-oblasniy-plastoviy-tsentr/
Івано-Франківська область,Рогатин,Рогатинський молодіжний пластовий центр,https://youthcenters.net.ua/rogatinskiy-molodigniy-plastoviy-tsentr/
Івано-Франківська область,Городенка,Молодіжний центр Городенківщини,https://youthcenters.net.ua/molodigniy-tsentr-gorodenkivshchini/
Івано-Франківська область,Калуш,"Центр громадських ініціатив ""Вільний простір""",https://youthcenters.net.ua/tsentr-gromadskih-initsiativ-vilniy-prostir/
Івано-Франківська область,Верховина,Думка,https://youthcenters.net.ua/dumka/
Івано-Франківська область,с.Витвиця,СІЧ Сильні Ідейні Чесні,https://youthcenters.net.ua/sich-silni-ideyni-chesni/
Івано-Франківська область,с.Надорожна,Громадський простір с.Надорожна,https://youthcenters.net.ua/gromadskiy-prostir-s-nadorogna/
Івано-Франківська область,с. Верхній Вербіж,"""Центр соціального розвитку та підтримки"" Нижньовербізької ОТГ",https://youthcenters.net.ua/tsentr-sotsialnogo-rozvitku-ta-pidtrimki-nignoverbizkoi-otg/
Івано-Франківська область,Старобогородчанська ОТГ,#StBogoHub,https://youthcenters.net.ua/stbogohub/
Івано-Франківська область,Дзвиняцька ОТГ,Комора,https://youthcenters.net.ua/komora/
Івано-Франківська область,смт. Печеніжин,"Громадський простір ""Liberty Space""",https://youthcenters.net.ua/gromadskiy-prostir-liberty-space/
Івано-Франківська область,Надвірна,Молодіжний простір у Юнацькій бібліотеці,https://youthcenters.net.ua/molodigniy-prostir-u-yunatskiy-bibliotetsi/
Кропивницька область,Кропивницький,Креативний простір KOWO,https://youthcenters.net.ua/kreativniy-prostir-kowo/
Кропивницька область,Кропивницький,Молодіжний центр Кіровоградської області,https://youthcenters.net.ua/molodigniy-tsentr-kirovogradskoi-oblasti/
Кропивницька область,Кропивницький,"Молодіжний простір ""Дієво""",https://youthcenters.net.ua/molodigniy-prostir-dievo/
Кропивницька область,Кропивницький,"Центр молоді з інвалідністю ""Сильні духом""",https://youthcenters.net.ua/tsentr-molodi-z-invalidnistyu-silni-duhom/
Кропивницька область,с. Дмитрівка,"Молодіжний простір ""Youth Space""",https://youthcenters.net.ua/molodigniy-prostir-youth-space/
Кропивницька область,смт. Нова Прага,Молодіжний АРТ-центр,https://youthcenters.net.ua/molodigniy-art-tsentr/
Луганська область,Сєверодонецьк,"Громадський майданчик ""ХочуБуду""",https://youthcenters.net.ua/gromadskiy-maydanchik-hochubudu/
Луганська область,Сєверодонецьк,Луганський обласний центр підтримки молодіжних ініціатив та соціальних досліджень,https://youthcenters.net.ua/luganskiy-oblasniy-molodigniy-tsentr/
Луганська область,Сєверодонецьк,"""Інклюзивний молодіжний хаб"" (Сєвєродонецьк), БО""БФ""Карітас Сєвєродонецьк"".",https://youthcenters.net.ua/inklyuzivniy-molodigniy-hab-severodonetsk-bo-bf-karitas-severodonetsk/
Луганська область,Сєверодонецьк,"Дитячий центр соціально-психологічної підтримки ""Генерація UA""",https://youthcenters.net.ua/dityachiy-tsentr-sotsialno-psihologichnoi-pidtrimki-generatsiya-ua/
Луганська область,Сєверодонецьк,"Студентський простір ""YO!Гурт""",https://youthcenters.net.ua/studentskiy-prostir-yo-gurt/
Луганська область,Сєверодонецьк,"Центр розвитку молоді ""Sever HUB""",https://youthcenters.net.ua/tsentr-rozvitku-molodi-sever-hub/
Луганська область,Лисичанськ,FoxHab,https://youthcenters.net.ua/foxhab/
Луганська область,Лисичанськ,BIBLIO HUB,https://youthcenters.net.ua/biblio-hub/
Луганська область,Лисичанськ,Молодіжний медіа-хаб «FREEDOMHUB»,https://youthcenters.net.ua/freedom-hub-1/
Луганська область,Лисичанськ,GENERATION CENTER HUB,https://youthcenters.net.ua/generation-center-hub/
Луганська область,Лисичанськ,"Молодіжний центр ""Druzi_hub""",https://youthcenters.net.ua/molodigniy-tsentr-druzi-hub/
Луганська область,Лисичанськ,Центр урбан культур «Дружба»,https://youthcenters.net.ua/tsentr-urban-kultur-drugba/
Луганська область,Новопсков,"Молодіжний центр ""Vektor"" Новопсковської центральної районної бібліотеки",https://youthcenters.net.ua/molodigniy-tsentr-vektor-novopskovskoi-tsentralnoi-rayonnoi-biblioteki/
Луганська область,смт Станиця Луганська,"""МОЯ Станица HUB""",https://youthcenters.net.ua/moya-stanitsa-hub/
Луганська область,Сватово,Сватівський районний молодіжний центр,https://youthcenters.net.ua/svativskiy-rayonniy-molodigniy-tsentr/
Луганська область,Сватово,"Молодіжний центр ""Ліфт""",https://youthcenters.net.ua/molodigniy-tsentr-lift/
Луганська область,Рубіжне,Громадський Дім,https://youthcenters.net.ua/gromadskiy-dim/
Луганська область,Старобільськ,"Молодіжний хаб ""INVENTORS""",https://youthcenters.net.ua/molodigniy-hab-inventors/
Луганська область,с. Кризьке,"Молодіжна платформа ""Вільний простір""",https://youthcenters.net.ua/molodigna-platforma-vilniy-prostir/
Луганська область,смт Борівське,"Молодіжний центр ""Твій вибір""",https://youthcenters.net.ua/molodigniy-tsentr-tviy-vibir/
Луганська область,смт Комишуваха,New Generation,https://youthcenters.net.ua/new-generation/
Львівська область,Львів,"КЗ ""Львівський обласний молодіжний центр""",https://youthcenters.net.ua/lvivskiy-oblasniy-molodigniy-tsentr/
Львівська область,Львів,Львівський обласний пластовий центр,https://youthcenters.net.ua/kz-lor-lvivskiy-oblasniy-plastoviy-tsentr/
Львівська область,Львів,"Молодіжний центр ""Нові Орбіти"" (КМЦ ""Супутник"")",https://youthcenters.net.ua/suputnik/
Львівська область,Львів,"МолоДвіж Центр (КУ ""Львівський міський молодіжний центр"")",https://youthcenters.net.ua/molodvig-tsentr-ku-lvivskiy-miskiy-molodigniy-tsentr/
Львівська область,Львів,Центр YMCA міста Львова,https://youthcenters.net.ua/tsentr-ymca-mista-lvova/
Львівська область,Львів,"Lviv Open Lab (КУ ""Львівський міський молодіжний центр"")",https://youthcenters.net.ua/lviv-open-lab/
Львівська область,Пустомити,Молодіжний Центр Птах,https://youthcenters.net.ua/molodigniy-tsentr-ptah/
Львівська область,Пустомити,"Молодіжний простір ""Білка""",https://youthcenters.net.ua/molodigniy-prostir-bilka/
Львівська область,Червоноград,"Молодіжний ХАБ ""Космодром""",https://youthcenters.net.ua/molodigniy-hab-kosmodrom/
Львівська область,Жовтанецька ОТГ,"Молодіжний центр ""IDEA""",https://youthcenters.net.ua/molodigniy-tsentr-idea-govtanetskoi-otg/
Львівська область,Дрогобич,"ГО ""Молодіжний простір Дрогобича""",https://youthcenters.net.ua/go-molodigniy-prostir-drogobicha/
Львівська область,смт. Гірник,"Молодіжний простір ""Гірлянда""",https://youthcenters.net.ua/molodigniy-prostir-girlyanda/
Львівська область,смт. Дубляни,"Молодіжний громадський простір ""Вулик""",https://youthcenters.net.ua/molodigniy-gromadskiy-prostir-vulik/
Львівська область,Броди,Молодіжний простір міжшкільного учнівського парламенту,https://youthcenters.net.ua/molodigniy-prostir-migshkilnogo-uchnivskogo-parlamentu/
Львівська область,Буськ,Молодіжний простір МУП,https://youthcenters.net.ua/molodigniy-prostir-mup/
Львівська область,с. Велике Колодно,"Молодіжний центр ""IDEA""",https://youthcenters.net.ua/molodigniy-tsentr-idea/
Львівська область,с. Вільшаник,"Молодіжний простір ГО ""Ми - це Вільшаник""",https://youthcenters.net.ua/molodigniy-prostir-go-mi-tse-vilshanik/
Львівська область,с. Давидів,"Молодіжний простір ГО ""I AM""",https://youthcenters.net.ua/molodigniy-prostir-go-i-am/
Львівська область,с. Деревня,"Молодіжний простір ""Хата Читальня""",https://youthcenters.net.ua/molodigniy-prostir-hata-chitalnya/
Львівська область,с. Добряни,"Молодіжний простір ""За горнятком""",https://youthcenters.net.ua/molodigniy-prostir-za-gornyatkom/
Львівська область,с. Красів,Коворкінг на селі,https://youthcenters.net.ua/kovorking-na-seli/
Львівська область,Новий Розділ,"Молодіжно-християнський центр ""Синай""",https://youthcenters.net.ua/molodigno-hristiyanskiy-tsentr-sinay/
Львівська область,Самбір,"Молодіжний простір ""ПораДій""",https://youthcenters.net.ua/molodigniy-prostir-poradiy-1/
Львівська область,Старий Самбір,"Молодіжний простір ""MindHouse""",https://youthcenters.net.ua/molodigniy-prostir-mindhouse/
Львівська область,Яворів,Центр військово-патріотичного виховання дітей та молоді,https://youthcenters.net.ua/tsentr-viyskovo-patriotichnogo-vihovannya-ditey-ta-molodi/
Львівська область,Жовква,"Молодіжний простір ""Літній театр""",https://youthcenters.net.ua/molodigniy-prostir-litniy-teatr/
Львівська область,Стрий,НАЦІОНАЛЬНО-КУЛЬТУРНИЙ МОЛОДІЖНИЙ ЦЕНТР,https://youthcenters.net.ua/natsionalno-kulturniy-molodigniy-tsentr/
Львівська область,Стрий,Стрийський Молодіжний центр,https://youthcenters.net.ua/striyskiy-molodigniy-tsentr/
Миколаївська область,Миколаїв,"Молодіжний центр ""Inspire""",https://youthcenters.net.ua/molodigniy-tsentr-inspire/
Миколаївська область,с. Доманівка,"Творчий простір Доманівки ""ПораДій""",https://youthcenters.net.ua/tvorchiy-prostir-domanivki-poradiy/
Миколаївська область,Вознесенськ,Молодіжний HUB,https://youthcenters.net.ua/molodigniy-hub/
Одеська область,Одеса,Одеська обласна універсальна наукова бібліотека ім. М.С. Грушевського,https://youthcenters.net.ua/odeska-oblasna-universalna-naukova-biblioteka-im-m-s-grushevskogo/
Одеська область,Одеса,PMA Odesa Hub,https://youthcenters.net.ua/pma-odesa-hub/
Одеська область,Доброслав,Dobro HUB,https://youthcenters.net.ua/dobro-hub/
Одеська область,Саврань,Нове покоління,https://youthcenters.net.ua/nove-pokolinnya/
Одеська область,с. Концеба,Філіал молодіжного центру «Нове покоління»,https://youthcenters.net.ua/filial-molodignogo-tsentru-nove-pokolinnya/
Полтавська область,Полтава,Обласний молодіжний центр,https://youthcenters.net.ua/oblasniy-molodigniy-tsentr/
Полтавська область,Полтава,Молодіжний центр «Lighthouse» Благодійної організації «Світло надії»,https://youthcenters.net.ua/molodigniy-tsentr-lighthouse-blagodiynoi-organizatsii-svitlo-nadii/
Полтавська область,Полтава,Молодіжний комунікаційний простір «Speak & Do»,https://youthcenters.net.ua/molodigniy-komunikatsiyniy-prostir-speak-do/
Полтавська область,Кременчук,Адаптер,https://youthcenters.net.ua/adapter/
Полтавська область,Кременчук,Простір ідей,https://youthcenters.net.ua/prostir-idey/
Полтавська область,Омельник,Молодіжний хаб,https://youthcenters.net.ua/molodigniy-hab/
Полтавська область,Нові Санжари,"Молодіжний центр ""Друкарня""",https://youthcenters.net.ua/molodigniy-tsentr-drukarnya/
Рівненська область,Рівне,Рівненський обласний молодіжний пластовий вишкільний центр,https://youthcenters.net.ua/rivnenskiy-oblasniy-molodigniy-plastoviy-vishkilniy-tsentr/
Рівненська область,Рівне,Молодіжний простір НОТА,https://youthcenters.net.ua/molodigniy-prostir-nota/
Рівненська область,Дубровиця,Вільний простір,https://youthcenters.net.ua/vilniy-prostir/
Рівненська область,с. Привільне,Молодіжний центр Привільненської ОТГ,https://youthcenters.net.ua/molodigniy-tsentr-privilnenskoi-otg/
Рівненська область,с. Берестя,Молодіжний центр с. Берестя,https://youthcenters.net.ua/molodigniy-tsentr-s-berestya/
Рівненська область,Острог,Клуб Юнацтва,https://youthcenters.net.ua/klub-yunatstva/
Рівненська область,Вараш,Гуркіт - Вараський молодіжний центр,https://youthcenters.net.ua/gurkit-varaskiy-molodigniy-tsentr/
Рівненська область,Здолбунів,Молодіжний простір Home'Як,https://youthcenters.net.ua/molodigniy-prostir-home-yak/
Сумська область,Суми,Сумський міський Центр дозвілля молоді Сумської міської ради,https://youthcenters.net.ua/sumskiy-miskiy-tsentr-dozvillya-molodi-sumskoi-miskoi-radi/
Сумська область,Суми,"Сумський обласний центр відпочинку, оздоровлення, туризму та військово-патріотичного виховання",https://youthcenters.net.ua/sumskiy-oblasniy-tsentr-vidpochinku-ozdorovlennya-turizmu-ta-viyskovo-patriotichnogo-vihovannya/
Сумська область,Суми,Розумний хаб,https://youthcenters.net.ua/rozumniy-hab/
Сумська область,Суми,Молодіжна платформа «VILNO»,https://youthcenters.net.ua/molodigna-platforma-vilno/
Сумська область,Охтирка,Охтирський молодіжний центр,https://youthcenters.net.ua/ohtirskiy-molodigniy-tsentr/
Тернопільська область,Тернопіль,Тернопільский Молодіжний центр,https://youthcenters.net.ua/ternopilskiy-molodigniy-tsent/
Тернопільська область,Тернопіль,Тернопільський обласний пластовий вишкільний центр,https://youthcenters.net.ua/ternopilskiy-oblasniy-plastoviy-vishkilniy-tsentr/
Тернопільська область,с. Великі Гаї,Молодіжний коворкінг центр РavuTyna,https://youthcenters.net.ua/molodigniy-kovorking-tsentr-ravutyna/
Тернопільська область,Бережани,Рідне місто,https://youthcenters.net.ua/ridne-misto/
Тернопільська область,с. Ланівці,Культурний центр Єловицьких,https://youthcenters.net.ua/kulturniy-tsentr-elovitskih/
Тернопільська область,с. Нирків,Ґалатиґа: Простір для альтернативної освіти та розвитку громади,https://youthcenters.net.ua/alati-a-prostir-dlya-alternativnoi-osviti-ta-rozvitku-gromadi/
Тернопільська область,Заліщики,Вулик,https://youthcenters.net.ua/vulik/
Тернопільська область,Бучач,"ГО""Молодіжна Пластова Станиця Бучач""",https://youthcenters.net.ua/go-molodigna-plastova-stanitsya-buchach/
Тернопільська область,с. Угрик,Угрик центр,https://youthcenters.net.ua/ugrik-tsentr/
Харківська область,м. Харків,Харківський Обласний Центр Молоді,https://youthcenters.net.ua/kharkivskiy-oblasniy-tsentr-molodi/
Харківська область,м. Харків,Центр розвитку лідерства Української академії лідерства в м.Харків,https://youthcenters.net.ua/tsentr-rozvitku-liderstva-ukrainskoi-akademii-liderstva-v-m-harkiv/
Харківська область,м. Харків,"Молодіжний центр ""ХАБ 6/9""",https://youthcenters.net.ua/hub_6-9/
Харківська область,м. Харків,"Підлітковий центр ""Семиэтажка""",https://youthcenters.net.ua/pidlitkoviy-tsentr-semietagka/
Харківська область,м. Первомайський,"Молодіжний хаб ""[КОМОРА]""",https://youthcenters.net.ua/hub_komora/
Харківська область,м. Лозова,"Молодіжний хаб ""PIXEL""",https://youthcenters.net.ua/hub_pixel/
Харківська область,м. Ізюм,"Молодіжний центр ""ІЗЮМ""",https://youthcenters.net.ua/hub_izyum/
Харківська область,м. Ізюм,Пластовий Молодіжний Центр Ізюмської ОТГ,https://youthcenters.net.ua/plastoviy-molodigniy-tsentr-izyumskoi-otg/
Харківська область,м. Чугуїв,"Молодіжний хаб ""CITY""",https://youthcenters.net.ua/hub_city/
Харківська область,м. Балаклія,"Молодіжний хаб ""CUBE""",https://youthcenters.net.ua/hub_cube/
Харківська область,м. Куп'янськ,"Молодіжний хаб ""ОРБІТА""",https://youthcenters.net.ua/hub_orbita/
Харківська область,м. Мерефа,"Молодіжний центр ""DobreBus""",https://youthcenters.net.ua/dobrebus/
Харківська область,м. Мерефа,"Молодіжний хаб ""MOTION SPACE""",https://youthcenters.net.ua/hub_motion_space/
Харківська область,м. Красноград,"Молодіжний хаб ""REDHUB""",https://youthcenters.net.ua/redhub/
Харківська область,м. Красноград,"КЗ ""Красноградський молодіжний центр"" Красноградської міської ради",https://youthcenters.net.ua/kz-krasnogradskiy-molodigniy-tsentr/
Харківська область,м. Зміїв,"Молодіжний хаб ""HUB_ІДЕЙ""",https://youthcenters.net.ua/hub_idey/
Харківська область,смт. Нова Водолага,"Молодіжний хаб ""SMART""",https://youthcenters.net.ua/hub_smart/
Харківська область,смт. Нова Водолага,"Молодіжний хаб ""NEBO""",https://youthcenters.net.ua/nebo/
Харківська область,м. Валки,"Молодіжний хаб ""РОЗВИТОК""",https://youthcenters.net.ua/hub_rozvitok/
Харківська область,смт. Золочів,"Молодіжний хаб ""ENERGY""",https://youthcenters.net.ua/hub_energy/
Харківська область,смт. Рогань,"Молодіжний хаб ""SEL`CLUB""",https://youthcenters.net.ua/hub_sels_club/
Харківська область,смт. Малинівка,"Молодіжний хаб ""MALINA""",https://youthcenters.net.ua/hub_malina/
Харківська область,с. Липці,"Молодіжний хаб ""Територія Молоді""",https://youthcenters.net.ua/Terytoriia_Molodi/
Херсонська область,Новорайськ,"Молодіжний центр ""Workspace""",https://youthcenters.net.ua/molodigniy-tsentr-workspace/
Херсонська область,Асканія-Нова,"Молодіжний центр ""Щастя поруч""",https://youthcenters.net.ua/molodigniy-tsentr-shchastya-poruch/
Херсонська область,смт. Високопілля,Молодіжний хаб Високопільської громади,https://youthcenters.net.ua/molodigniy-hab-visokopilskoi-gromadi/
Херсонська область,Скадовськ,Молодіжний центр «Lighthouse»,https://youthcenters.net.ua/light-house-dim-svitlih-idey-skadovskiy-molodigniy-tsentr/
Херсонська область,м. Гуляйполе,"Хаб ""Територія Свободи""",https://youthcenters.net.ua/hab-teritoriya-svobodi/
Хмельницька область,Хмельницький,"Комунальна установа ""Молодіжний центр""",https://youthcenters.net.ua/komunalna-ustanova-molodigniy-tsentr/
Хмельницька область,Кам'янець-Подільський,Loveka,https://youthcenters.net.ua/loveka/
Черкаська область,Черкаси,Черкаський обласний молодіжний ресурсний центр,https://youthcenters.net.ua/cherkaskiy-oblasniy-molodigniy-resursniy-tsentr/
Черкаська область,Золотоноша,АртПростір,https://youthcenters.net.ua/artprostir/
Черкаська область,Золотоноша,Молодіжний простір Chill out Zolo,https://youthcenters.net.ua/molodigniy-prostir-chill-out-zolo/
Черкаська область,Сміла,Громадський простір,https://youthcenters.net.ua/gromadskiy-prostir/
Черкаська область,с. Драбівці,"Молодіжний простір  ""АТМОСФЕРА""",https://youthcenters.net.ua/molodigniy-prostir-atmosfera/
Черкаська область,с. Мартинівка,"Арт простір ""Мартинівський скарб""",https://youthcenters.net.ua/art-prostir-martinivskiy-skarb/
Черкаська область,с. Степанці,"Центр розвитку особистості ""STEPHUB""",https://youthcenters.net.ua/tsentr-rozvitku-osobistosti-stephub/
Черкаська область,Умань,"Молодіжний центр ""START"" Уманського державного педагогічного університету імені Павла Тичини",https://youthcenters.net.ua/molodigniy-tsentr-start/
Черкаська область,Чигирин,"Вільний простір ""ХАТА - ХАБ""",https://youthcenters.net.ua/vilniy-prostir-hata-hab/
Черкаська область,Кам'янка,"Молодіжний простір ""Саме час""",https://youthcenters.net.ua/molodigniy-prostir-same-chas/
Чернівецька область,Чернівці,"КУ ""Молодіжний центр Чернівців ""Резиденція молоді""",https://youthcenters.net.ua/ku-molodigniy-tsentr-chernivtsiv-rezidentsiya-molodi/
Чернігівська область,Чернігів,Чернігівський обласний молодіжний центр,https://youthcenters.net.ua/chernigivskiy-oblasniy-molodigniy-tsentr/
Чернігівська область,Чернігів,Центр роботи з дітьми та молоддю за місцем проживання (21 клуб),https://youthcenters.net.ua/tsentr-roboti-z-ditmi-ta-moloddyu-za-mistsem-progivannya-21-klub/
Чернігівська область,Прилуки,Молодіжний центр у м. Прилуки,https://youthcenters.net.ua/molodigniy-tsentr-u-m-priluki/
Чернігівська область,Ніжин,Ніжинський міський молодіжний центр,https://youthcenters.net.ua/niginskiy-miskiy-molodigniy-tsentr/
Чернігівська область,м. Корюківка,"Корюківський молодіжний центр ""КУБ""",https://youthcenters.net.ua/koryukivskiy-molodigniy-tsentr-kub/
Чернігівська область,с. Добрянка,Молодіжний центр,https://youthcenters.net.ua/molodigniy-tsentr/
Чернігівська область,с. Комарівка,Молодіжний простір,https://youthcenters.net.ua/molodigniy-prostir/
Чернігівська область,с. Прогрес,Молодіжний простір,https://youthcenters.net.ua/molodigniy-prostir-1/
